,Header,Description,Time,Label
241,How Young Adults Want Their Country To Engage With the World,"Though younger people tend to be more internationally oriented than older adults, they differ from one another over how they want their country to engage with the world.",2023-03-08T00:00:00+00:00,data essay
242,Latinos make up record 17% of Florida registered voters in 2020,"The number of Hispanic registered voters in Florida grew by 364,000 between 2012 and 2016 and by 305,000 between 2008 and 2012.",2020-10-19T00:00:00+00:00,short reads
243,Most Cuban American voters identify as Republican in 2020,"Nationwide, 58% of Cuban registered voters say they affiliate with or lean toward the Republican Party, while 38% identify as or lean Democratic.",2020-10-02T00:00:00+00:00,short reads
244,23% of users in U.S. say social media led them to change views on an issue; some cite Black Lives Matter,The share of social media users who say they have changed their views on an issue has increased since we last asked this question in 2018.,2020-10-15T00:00:00+00:00,short reads
245,Fast facts about Nigeria and its immigrants as U.S. travel ban expands,Nigeria is Africa’s most populous nation and is the top birthplace among African immigrants living in the U.S.,2020-02-03T00:00:00+00:00,short reads
246,Unauthorized Immigrants in Italy,"An estimated 500,000 to 700,000 unauthorized immigrants lived in Italy in 2017, up from 300,000 to 500,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
247,Unauthorized Immigrants in Germany,"An estimated 1.0 million to 1.2 million unauthorized immigrants lived in Germany in 2017, up from 500,000 to 600,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
248,Unauthorized Immigrants in France,"An estimated 300,000 to 400,000 unauthorized immigrants lived in France in 2017, up slightly from 200,000 to 300,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
249,"Polling methods are changing, but reporting the views of Asian Americans remains a challenge",The rise of internet polling makes it more feasible to publish estimates for Asian Americans. But these estimates offer a limited view.,2020-07-01T00:00:00+00:00,short reads
250,Unauthorized Immigrants in Italy,"An estimated 500,000 to 700,000 unauthorized immigrants lived in Italy in 2017, up from 300,000 to 500,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
251,Unauthorized Immigrants in Germany,"An estimated 1.0 million to 1.2 million unauthorized immigrants lived in Germany in 2017, up from 500,000 to 600,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
252,Unauthorized Immigrants in France,"An estimated 300,000 to 400,000 unauthorized immigrants lived in France in 2017, up slightly from 200,000 to 300,000 in 2014, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
253,"About One-in-Four U.S. Hispanics Have Heard of Latinx, but Just 3% Use It","The term Latinx has emerged in recent years as a gender-neutral alternative to the pan-ethnic terms Latino, Latina and Hispanic. However, awareness of Latinx is relatively low among the population it is meant to describe.",2020-08-11T00:00:00+00:00,report
254,Americans have heard more about clashes between police and protesters than other recent news stories,The public is more likely to have heard “a lot” about ongoing confrontations between police and protesters than several other stories.,2020-09-16T00:00:00+00:00,short reads
255,"Prior to COVID-19, Urban Core Counties in the U.S. Were Gaining Vitality on Key Measures","Compared with 2000, suburban populations are less engaged in the labor market, experiencing declining incomes and seeing home values that have not kept pace with those of the central cities.",2020-07-29T00:00:00+00:00,report
256,More than nine-in-ten people worldwide live in countries with travel restrictions amid COVID-19,The movement of people across borders has halted in much of the world as countries close their borders in response to the coronavirus outbreak.,2020-04-01T00:00:00+00:00,short reads
257,Many immigrants with Temporary Protected Status face uncertain future in U.S.,"Roughly 317,000 immigrants from 10 countries have this status after fleeing dangerous conditions at home. Learn about where these protections stand.",2019-11-27T00:00:00+00:00,short reads
258,"In 2018, Government Restrictions on Religion Reach Highest Level Globally in More Than a Decade","In 2018, the global median level of government restrictions on religion – that is, laws, policies and actions by officials that impinge on religious beliefs and practices – continued to climb, reaching an all-time high since Pew Research Center began tracking these trends in 2007.",2020-11-10T00:00:00+00:00,report
259,Unauthorized Immigrants in the United Kingdom,"An estimated 800,000 to 1.2 million unauthorized immigrants lived in the United Kingdom in 2017, according to new Pew Research Center estimates based on the latest available data.",2019-11-13T00:00:00+00:00,fact sheet
260,"In 2018, Government Restrictions on Religion Reach Highest Level Globally in More Than a Decade","In 2018, the global median level of government restrictions on religion – that is, laws, policies and actions by officials that impinge on religious beliefs and practices – continued to climb, reaching an all-time high since Pew Research Center began tracking these trends in 2007.",2020-11-10T00:00:00+00:00,report
261,How European and U.S. unauthorized immigrant populations compare,The size of Europe’s unauthorized immigrant population in 2017 was less than half the number in the United States.,2019-11-13T00:00:00+00:00,short reads
262,5 facts about unauthorized immigration in Europe,"The number of unauthorized immigrants living in Europe increased between 2014 and 2016, then leveled off to an estimated 3.9 million to 4.8 million in 2017, according to new estimates from Pew Research Center.",2019-11-14T00:00:00+00:00,short reads
263,"Europe’s Unauthorized Immigrant Population Peaks in 2016, Then Levels Off","Most live in Germany, the UK, Italy and France, and about half had arrived in Europe in recent years. Overall, these migrants account for less than 1% of Europe’s total population.",2019-11-13T00:00:00+00:00,report
264,"Summary of findings: Europe’s Unauthorized Immigrant Population Peaks in 2016, Then Levels Off","WASHINGTON, D.C. (Nov. 13, 2019) – At least 3.9 million unauthorized immigrants – and possibly as many as 4.8 million – lived in Europe in 2017, according to new Pew Research Center estimates. These totals are up from Center estimates for 2014, when between 3.0 million and 3.7 million unauthorized migrants resided in European nations, […]",2019-11-13T00:00:00+00:00,press release
265,"U.S. Hispanic population surpassed 60 million in 2019, but growth has slowed","The U.S. Hispanic population reached a record 60.6 million in 2019, up 930,000 over the previous year and up from 50.7 million in 2010.",2020-07-07T00:00:00+00:00,short reads
266,Immigrants non autorisés en France,"Le nombre d’immigrants non autorisés vivant en France en 2017 est estimé entre 300 000 et 400 000, une légère augmentation par rapport aux chiffres de 2014 qui se situaient entre 200 000 et 300 000, selon de nouvelles estimations réalisées par Pew Research Center sur la base des dernières données disponibles.",2019-11-13T00:00:00+00:00,fact sheet
267,La population d’immigrants non autorisés en Europe se stabilise après avoir atteint un pic en 2016,"(Traduction depuis l’anglais) Au moins 3,9 millions d’immigrants non autorisés, et peut-être jusqu’à 4,8 millions, vivaient en Europe en 2017 selon de nouvelles estimations réalisées par Pew Research Center. Ces chiffres sont en augmentation par rapport aux estimations publiées par Pew Research Center pour l’année 2014, selon lesquelles entre 3 et 3,7 millions de migrants non autorisés résidaient […]",2019-11-13T00:00:00+00:00,press release
268,"As Voting Begins, Democrats Are Upbeat About the 2020 Field, Divided in Their Preferences",Democrats’ preferences for the nominee are deeply divided along ideological and demographic lines.,2020-01-30T00:00:00+00:00,report
269,"From the archives: In ’60s, Americans gave thumbs-up to immigration law that changed the nation","In this 2015 post, we explore how Americans’ views of immigration have shifted since the enactment of the 1965 Immigration and Nationality Act.",2019-09-20T00:00:00+00:00,short reads
270,Hispanics have accounted for more than half of total U.S. population growth since 2010,"From 2010 to 2019, the U.S. population increased by 18.9 million, and Hispanics accounted for more than half of this growth.",2020-07-10T00:00:00+00:00,short reads
271,"Brexit divides the UK, but partisanship and ideology are still key factors","Public opinion on Brexit aligns with attitudes toward the EU, immigration and culture.",2019-10-28T00:00:00+00:00,short reads
272,Americans’ immigration policy priorities: Divisions between – and within – the two parties,Democrats and Republicans have starkly different priorities when it comes to the nation’s immigration policies.,2019-11-12T00:00:00+00:00,short reads
273,Mapping the 2020 Latino electorate,More than 32 million Latinos are eligible to vote nationwide in the 2020 presidential elections. See how the share of Latino voters varies by state and congressional district.,2020-01-31T00:00:00+00:00,feature
274,Video: Estimating Europe’s unauthorized immigrant population,A new Pew Research Center analysis estimates that at least 3.9 million unauthorized immigrants – and possibly as many as 4.8 million – lived in Europe in 2017. Learn how we conducted the first comprehensive estimate of Europe’s unauthorized immigrant population in over a decade.,2019-11-15T00:00:00+00:00,feature
275,Attitudes Toward Diversity in 11 Emerging Economies,"Across the surveyed countries, opinion varies widely about the value of diversity. But interacting with people of different backgrounds is related to more positive attitudes about the role of diversity in society.",2020-06-16T00:00:00+00:00,report
276,The changing categories the U.S. census has used to measure race,"Racial categories, which have been on every U.S. census, have changed from decade to decade, reflecting the politics and science of the times.",2020-02-25T00:00:00+00:00,short reads
277,Older people are more likely to live alone in the U.S. than elsewhere in the world,"In the United States, 27% of adults ages 60 and older live alone, compared with 16% of adults in the 130 countries and territories studied.",2020-03-10T00:00:00+00:00,short reads
278,"The U.S. budget deficit is rising amid COVID-19, but public concern about it is falling","Response to the pandemic has pushed the federal budget higher than it’s been in decades, but Americans are slightly less concerned about the deficit than in recent years.",2020-08-13T00:00:00+00:00,short reads
279,Diversity and Division in Advanced Economies,"Wide majorities in most of the 17 advanced economies surveyed say having people of many different backgrounds improves their society, but most also see conflicts between partisan, racial and ethnic groups.",2021-10-13T00:00:00+00:00,report
280,U.S. Catholics less likely than Protestants to express confidence in advice from clergy,Catholics have less confidence in their clergy’s advice than Protestants – and are less likely to claim a close relationship with clergy.,2019-12-03T00:00:00+00:00,short reads
281,Three-in-ten or more Democrats and Republicans don’t agree with their party on abortion,"When it comes to abortion, members of Congress are starkly divided by party. Yet the partisan divide among Americans themselves is less stark.",2020-06-18T00:00:00+00:00,short reads
282,Confronting 2016 and 2020 Polling Limitations,"Looking at final estimates of the outcome of the 2020 U.S. presidential race, 93% of national polls overstated the Democratic candidate’s support among voters, while nearly as many (88%) did so in 2016.",2021-04-08T00:00:00+00:00,report
283,19 striking findings from 2019,"Every year, we publish hundreds of reports, blog posts, digital essays and other studies. Here are some of our most noteworthy findings from the past year.",2019-12-13T00:00:00+00:00,short reads
284,About Seven-in-Ten U.S. Adults Say They Need to Take Breaks From COVID-19 News,61% give equal attention to national and local coronavirus news.,2020-04-29T00:00:00+00:00,report
285,Far more immigration cases are being prosecuted criminally under Trump administration,The first full fiscal year of the Trump administration saw large increases in the number of people arrested and criminally prosecuted for immigration offenses.,2019-09-27T00:00:00+00:00,short reads
286,"As Economic Concerns Recede, Environmental Protection Rises on the Public’s Policy Agenda",Nearly as many Americans say protecting the environment should be a top policy priority (64%) as say this about strengthening the economy (67%),2020-02-13T00:00:00+00:00,report
287,How people around the world see the U.S. and Donald Trump in 10 charts,"Views of the U.S. are favorable across many of the 33 countries we surveyed in 2019, although confidence in U.S. President Donald Trump is low.",2020-01-08T00:00:00+00:00,short reads
288,Want to understand the 2020 census? Take our new email course,Learn about why and how the U.S. census is conducted through five short lessons delivered to your inbox every other day.,2020-01-24T00:00:00+00:00,short reads
289,"Public’s Priorities for U.S. Asylum Policy: More Judges for Cases, Safe Conditions for Migrants",Most continue to favor legal status for undocumented immigrants,2019-08-12T00:00:00+00:00,report
290,"Public Holds Broadly Favorable Views of Many Federal Agencies, Including CDC and HHS","As the U.S. confronts the coronavirus outbreak, Americans continue to rate a wide range of federal agencies favorably, including two at the forefront of dealing with COVID-19.",2020-04-09T00:00:00+00:00,report
291,"Despite Pandemic, Many Europeans Still See Climate Change as Greatest Threat to Their Countries","The spread of infectious diseases is the top concern in the U.S., UK, Japan and South Korea as global economic concerns grow.",2020-09-09T00:00:00+00:00,report
292,Hispanic women no longer account for the majority of immigrant births in the U.S.,Much of the downturn in the share of immigrant births to Hispanics has been driven by a decline in births among Mexican-origin women.,2019-08-08T00:00:00+00:00,short reads
293,People around the world express more support for taking in refugees than immigrants,People around the world are more accepting of refugees fleeing violence and war than they are of immigrants moving to their country.,2019-08-09T00:00:00+00:00,short reads
294,What we know about illegal immigration from Mexico,"While Mexico is the United States’ largest source of immigrants, the number of Mexican immigrants living in the U.S. illegally has declined since 2007.",2019-06-28T00:00:00+00:00,short reads
295,5 facts about illegal immigration in the U.S.,There were 10.5 million unauthorized immigrants in the U.S. in 2017. The number of Mexican unauthorized immigrants declined since 2007.,2019-06-12T00:00:00+00:00,short reads
296,What to know about the 2020 census,"The 2020 census began in Alaska in January, and the first numbers will be published by the end of the year.",2020-03-12T00:00:00+00:00,short reads
297,"Most Adults Aware of 2020 Census and Ready to Respond, but Don’t Know Key Details","As the 2020 census gets underway, most U.S. adults are aware of it and are ready to respond, but many do not know what it asks or how to participate.",2020-02-20T00:00:00+00:00,report
298,"In a Politically Polarized Era, Sharp Divides in Both Partisan Coalitions","Partisanship remains the strongest factor dividing the American public. Yet there are substantial divisions within both parties on fundamental political values, views of current issues and the severity of the problems facing the nation.",2019-12-17T00:00:00+00:00,report
299,Where Latinos have the most eligible voters in the 2020 election,Latinos are expected for the first time to be the nation’s largest racial or ethnicity minority in a U.S. presidential election.,2020-01-31T00:00:00+00:00,short reads
300,Measuring illegal immigration: How Pew Research Center counts unauthorized immigrants in the U.S.,"Jeffrey S. Passel, senior demographer, on the research techniques used to derive the unauthorized immigrant population estimate in the U.S. and the challenges involved.",2019-07-12T00:00:00+00:00,short reads
301,5 facts about black Democrats,Black Democrats have consistently seen themselves as moderate. They are also highly religious and more likely to say racism is a very big problem.,2020-02-27T00:00:00+00:00,short reads
302,"Democrats, Republicans each expect made-up news to target their own party more than the other in 2020",There’s broad concern among Democrats and Republicans about the influence that made-up news could have during the 2020 presidential election.,2020-02-11T00:00:00+00:00,short reads
303,Mexicans decline to less than half the U.S. unauthorized immigrant population for the first time,The number of Mexican unauthorized immigrants has fallen since its peak of 6.9 million in 2007 and was lower in 2017 than in any year since 2001.,2019-06-12T00:00:00+00:00,short reads
304,"Few in other countries approve of Trump’s major foreign policies, but Israelis are an exception","As President Trump gears up to deliver his 2020 State of the Union address, respondents in many countries disapprove of his foreign policies.",2020-02-03T00:00:00+00:00,short reads
305,Speaking the national language at home is less common in some European countries,"In some EU nations, sizable minorities speak something other than their country’s national language in their household.",2020-01-06T00:00:00+00:00,short reads
306,Il totale di immigrati non autorizzati in Europa ha raggiunto un picco nel 2016 per poi stabilizzarsi,"(Traduzione da una versione in inglese) Gli immigrati non autorizzati che vivevano in Europa nel 2017 erano almeno 3,9 milioni, forse addirittura 4,8 milioni, secondo le nuove stime del Pew Research Center. Questi totali sono in crescita rispetto alle stime del Center per il 2014, quando nei Paesi europei erano presenti dai 3 ai 3,7 […]",2019-11-13T00:00:00+00:00,press release
307,Europas Anzahl an nicht-autorisierten Migranten erreicht Spitzenwert im Jahr 2016 und pendelt sich dann ein,"(Übersetzung einer englischen Fassung) Nach neuen Schätzungen des Pew Research Centers lebten 2017 mindestens 3,9 Millionen nicht-autorisierte Migranten in Europa – möglicherweise aber auch bis zu 4,8 Millionen. Diese Zahlen sind deutlich höher als die entsprechenden Schätzungen des Centers für das Jahr 2014, als zwischen 3,0 Millionen und 3,7 Millionen nicht-autorisierte Migranten in europäischen Ländern […]",2019-11-13T00:00:00+00:00,press release
308,El total de inmigrantes no autorizados en Europa alcanza su punto máximo en 2016 y después se estabiliza,"(Traducción de una versión en inglés) Al menos 3,9 millones de inmigrantes no autorizados —y, posiblemente, hasta 4,8 millones— vivían en Europa en 2017, según las nuevas estimaciones del Pew Research Center. Estas cifras totales han aumentado con respecto a las estimaciones del Pew Research Center para 2014, momento en que residían en naciones europeas de 3 a 3,7 millones […]",2019-11-13T00:00:00+00:00,press release
309,"Trump Ratings Remain Low Around Globe, While Views of U.S. Stay Mostly Favorable","President Trump and his policies continue to receive negative reviews from people worldwide, with a lack of confidence in his leadership especially common in Western Europe. While views of the U.S. are positive overall, they vary widely among some of its key allies.",2020-01-08T00:00:00+00:00,report
310,Key facts about U.S. immigration policies and Trump’s proposed changes,Proposals to change the U.S. immigration system have received renewed attention under the Trump administration. Read key details about U.S. immigration programs.,2019-05-17T00:00:00+00:00,short reads
311,"Recently arrived U.S. immigrants, growing in number, differ from long-term residents","Recently arrived immigrants have markedly different education, income and other characteristics from those who have been in the U.S. for longer.",2019-06-03T00:00:00+00:00,short reads
312,"Facts on U.S. Immigrants, 2017","There were a record 44.4 million immigrants living in the U.S. in 2017, making up 13.6% of the nation’s population.",2019-06-03T00:00:00+00:00,report
313,A snapshot of the top 2020 Democratic presidential candidates’ supporters,"As the race for the nomination heats up, supporters of the major Democratic candidates stand apart from one another in notable ways.",2020-02-10T00:00:00+00:00,short reads
314,"Unauthorized immigrant population trends for states, birth countries and regions","In 2017, an estimated 10.5 million unauthorized immigrants lived in the United States, down from a peak of 12.2 million in 2007. Explore trends in the unauthorized immigrant population for U.S. states, as well as for birth countries and regions, based on Pew Research Center estimates.",2019-06-12T00:00:00+00:00,feature
315,"U.S. unauthorized immigrants are more proficient in English, more educated than a decade ago","In 2016, a third of unauthorized immigrant adults were proficient in English – up from a quarter in 2007.",2019-05-23T00:00:00+00:00,short reads
316,"Most Americans Support Tough Stance Toward China on Human Rights, Economic Issues",Fewer adults have confidence in Joe Biden to handle the U.S.-China relationship than other foreign policy issues.,2021-03-04T00:00:00+00:00,report
317,"Many Americans Get News on YouTube, Where News Organizations and Independent Producers Thrive Side by Side",Videos from independent news producers are more likely to cover subjects negatively and discuss conspiracy theories.,2020-09-28T00:00:00+00:00,report
318,"Migrant apprehensions and deportations increase in Mexico, but remain below recent highs",Mexico has apprehended and deported more migrants within its borders so far this fiscal year than at the same point in fiscal 2018.,2019-06-12T00:00:00+00:00,short reads
319,How Europeans see key institutions and issues ahead of European Parliament elections,Learn how Europeans in 10 EU member states feel about key institutions and issues ahead of European Parliament elections.,2019-05-20T00:00:00+00:00,short reads
320,Religion in India: Tolerance and Segregation,"Indians see religious tolerance as a central part of who they are as a nation. Across the major religious groups, most people say it is very important to respect all religions to be “truly Indian.”",2021-06-29T00:00:00+00:00,report
321,"Supporters of European populist parties stand out on key issues, from EU to Putin","A look at how supporters of European populist parties stand out on key issues, from the European Union to Putin.",2019-11-18T00:00:00+00:00,short reads
322,"In South Africa, racial divisions and pessimism about democracy loom over elections",Many South Africans are dissatisfied with the state of their democracy. Confidence in some civic institutions declined from 1990 to 2013.,2019-05-03T00:00:00+00:00,short reads
323,"Around the World, More Say Immigrants Are a Strength Than a Burden",Majorities in top migrant destination countries say immigrants strengthen their countries. Yet publics are divided on immigrants’ willingness to adopt their host country’s customs.,2019-03-14T00:00:00+00:00,report
324,"Experts Say the ‘New Normal’ in 2025 Will Be Far More Tech-Driven, Presenting More Big Challenges","A plurality of experts think sweeping societal change will make life worse for most people. Still, a portion believe things will be better in a ‘tele-everything’ world.",2021-02-18T00:00:00+00:00,report
325,6 facts about Democrats in 2019,Self-identified liberals make up a larger share of the Democratic Party than they once did. Democrats are united in their opposition to Donald Trump.,2019-06-26T00:00:00+00:00,short reads
326,"Republicans have confidence in presidential appointees, Democrats trust career government employees",Partisans have different levels of confidence when it comes to the type of personnel who hold government jobs – presidential appointees or career employees.,2019-09-06T00:00:00+00:00,short reads
327,La cote de Trump dans le monde demeure basse alors que l’opinion à l’égard des États-Unis reste en grande partie favorable,"Comme cela a été le cas depuis le début de sa présidence, le Président américain Donald Trump recueille des avis en majorité défavorables de l’opinion publique dans le monde entier selon un nouveau rapport du Pew Research Center. Dans l’ensemble des pays sondés par le Pew Research Center, 64 % des personnes interrogées (valeur médiane) ne […]",2020-01-08T00:00:00+00:00,press release
328,6 demographic trends shaping the U.S. and the world in 2019,"Millennials are the largest adult generation in the United States, and the American family continues to change.",2019-04-11T00:00:00+00:00,short reads
329,Key findings about Americans’ declining trust in government and each other,Americans say the public’s trust has been declining in both the federal government and in their fellow citizens. But most say this can be turned around.,2019-07-22T00:00:00+00:00,short reads
330,Public Expresses Favorable Views of a Number of Federal Agencies,"Americans express overwhelmingly favorable opinions of federal agencies like the Postal Service, the National Park Service, NASA and the Centers for Disease Control and Prevention (CDC) despite historically low levels of public trust in the federal government.",2019-10-01T00:00:00+00:00,report
331,Many Across the Globe Are Dissatisfied With How Democracy Is Working,"Across 27 countries, more people are unhappy with the state of democracy in their countries than satisfied. Discontent with democracy is tied to concerns about the economy, individual rights and out-of-touch elites.",2019-04-29T00:00:00+00:00,report
332,The number of people in the average U.S. household is going up for the first time in over 160 years,This decade will likely be the first since the one that began in 1850 to break a long-running decline in American household size.,2019-10-01T00:00:00+00:00,short reads
333,"In 116th Congress, at least 13% of lawmakers are immigrants or the children of immigrants",The 69 immigrants and children of immigrants in the 116th Congress claim heritage in 38 countries and are overwhelmingly Democrats.,2019-01-24T00:00:00+00:00,short reads
334,"Americans Have Positive Views About Religion’s Role in Society, but Want It Out of Politics","A large majority of Americans feel that religion is losing influence in public life, according to a 2019 Pew Research Center survey.",2019-11-15T00:00:00+00:00,report
335,20 metro areas are home to six-in-ten unauthorized immigrants in U.S.,"In 2016, the 20 U.S. metro areas with the most unauthorized immigrants were home to 6.5 million of them, or 61% of the estimated total.",2019-03-11T00:00:00+00:00,short reads
336,Immigrants sent a record amount of money home to sub-Saharan African countries in 2017,Money sent by immigrants to their home countries in sub-Saharan Africa reached a record $41 billion in 2017.,2019-04-03T00:00:00+00:00,short reads
337,A view of the nation’s future through kindergarten demographics,"In 18 states and the District of Columbia, Latino children accounted for at least 20% of public school kindergarten students in 2017.",2019-07-31T00:00:00+00:00,short reads
338,"In a rising number of U.S. counties, Hispanic and black Americans are the majority","In a growing number of U.S. counties, a majority of residents are Hispanic or black, reflecting the nation’s changing demographics.",2019-11-20T00:00:00+00:00,short reads
339,"Europeans Credit EU With Promoting Peace and Prosperity, but Say Brussels Is Out of Touch With Its Citizens","Many Europeans say the European Union promotes peace, and most think it promotes democratic values and prosperity. But they also tend to see it as inefficient, intrusive and out of touch with citizens’ needs.",2019-03-19T00:00:00+00:00,report
340,6 facts about U.S. political independents,Partisan divides in America are as wide as they’ve ever been in the modern political era. But what about those who identify as independents?,2019-05-15T00:00:00+00:00,short reads
341,Explore unauthorized immigration by state using our new interactive,Unauthorized immigrants make up a quarter of all U.S. foreign-born residents. Our new interactive offers data on unauthorized immigrants by state.,2019-02-05T00:00:00+00:00,short reads
342,"Latinos’ Incomes Higher Than Before Great Recession, but U.S.-Born Latinos Yet to Recover",The overall gain in income among Latino workers is driven by a rise in the share of higher-income immigrants who have lived in the U.S. for more years. Yet the incomes of U.S.-born Latinos are still less than since the recession began.,2019-03-07T00:00:00+00:00,report
343,Men Appear Twice as Often as Women in News Photos on Facebook,Photos that exclusively show men make up the majority of photos that show people; representational differences persist across topics,2019-05-23T00:00:00+00:00,report
344,10 tech-related trends that shaped the decade,"The tech landscape has changed dramatically over the past decade, both in the United States and around the world.",2019-12-20T00:00:00+00:00,short reads
345,"Most U.S. adults intend to participate in 2020 census, but some demographic groups aren’t sure","Americans overwhelmingly are aware of the upcoming 2020 census, and more than eight-in-ten say they definitely or probably will participate.",2019-10-18T00:00:00+00:00,short reads
346,Most Democrats Are Excited by ‘Several’ 2020 Candidates – Not Just Their Top Choice,A majority of Democratic voters who prefer one of the presidential candidates are excited about several candidates vying for the party’s nomination. Far fewer are enthused only by their first choice.,2019-08-16T00:00:00+00:00,report
347,"By a Narrow Margin, Americans Say Senate Trial Should Result in Trump’s Removal","As the Senate impeachment trial gets underway, about half of Americans say Donald Trump should be removed from office. A 63% majority say Trump definitely or probably has committed illegal acts, either in office or while running for president.",2020-01-22T00:00:00+00:00,report
348,Latinos have become less likely to say there are too many immigrants in U.S.,The share of Latinos who say there are too many immigrants living in the United States has declined sharply since 2002.,2019-02-19T00:00:00+00:00,short reads
349,4 facts about religion in New Zealand,Almost all New Zealanders said in a 2011-2012 survey that they would accept a neighbor of a different religion.,2019-03-21T00:00:00+00:00,short reads
350,"Estimates of U.S. unauthorized immigrant population, by metro area, 2016 and 2007","Sortable table of estimates of unauthorized immigrant populations in 182 U.S. metropolitan areas,  derived from a sample of census data.",2019-03-11T00:00:00+00:00,feature
351,Growing Share of Adults Have Heard Something About the 2020 Census Recently,"Overall readiness to respond to the census has inched up since earlier this year, even as some key hard-to-count groups remain less enthusiastic than others.",2020-03-30T00:00:00+00:00,report
352,International migrants by country,Explore detailed tables on the number and share of immigrants and emigrants by country.,2019-01-30T00:00:00+00:00,feature
353,Majority of U.S. Public Supports High-Skilled Immigration,Many Americans support encouraging high-skilled immigration into the United States. But the U.S. trails other economically advanced nations in its share of immigrants with high skills.,2019-01-22T00:00:00+00:00,report
354,Europe experienced a surge in government restrictions on religious activity over the last decade,"In addition to government actions, there also was a dramatic increase in Europe in some measures of social hostility to religion.",2019-07-29T00:00:00+00:00,short reads
355,"An update on our research into trust, facts and democracy","A little over a year ago, Pew Research Center decided to intensify its research focus on the theme of trust, facts and democracy. As part of this initiative, the Center has published more than 30 pieces of related research over the past 12 months.",2019-06-05T00:00:00+00:00,report
356,The most common age among whites in U.S. is 58 – more than double that of racial and ethnic minorities,"The most common age was 11 for Hispanics, 27 for blacks and 29 for Asians as of last July. Multiracial Americans were by far the youngest racial or ethnic group.",2019-07-30T00:00:00+00:00,short reads
357,Trust and Distrust in America,Many Americans think declining trust in the government and in each other makes it harder to solve key problems. They have a wealth of ideas about what’s gone wrong and how to fix it.,2019-07-22T00:00:00+00:00,report
358,Majority of Americans continue to say immigrants strengthen the U.S.,The American public’s views of the impact immigrants have on the country remain largely positive – and deeply partisan.,2019-01-31T00:00:00+00:00,short reads
359,"Most Americans Say There Is Too Much Economic Inequality in the U.S., but Fewer Than Half Call It a Top Priority","About six-in-ten U.S. adults say there’s too much economic inequality in the country these days, and among that group, most say addressing it requires significant changes to the country’s economic system, according to a new Pew Research Center survey.",2020-01-09T00:00:00+00:00,report
360,"A Changing World: Global Views on Diversity, Gender Equality, Family Life and the Importance of Religion",People see diversity and gender equality increasing in their countries but say family ties have weakened. Views on the importance of religion vary widely.,2019-04-22T00:00:00+00:00,report
361,"Americans and Germans Disagree on the State of Bilateral Relations, but Largely Align on Key International Issues","Americans and Germans have vastly different opinions of their relationship, but they tend to agree on issues such as cooperation with other European allies and support for NATO.",2019-03-04T00:00:00+00:00,report
362,Historic highs in 2018 voter turnout extended across racial and ethnic groups,"More than half of U.S. eligible voters voted in 2018, the highest midterm turnout rate in recent history. Increased turnout was particularly pronounced among Hispanics and Asians.",2019-05-01T00:00:00+00:00,short reads
363,"Most Americans Say There Is Too Much Economic Inequality in the U.S., but Fewer Than Half Call It a Top Priority","About six-in-ten U.S. adults say there’s too much economic inequality in the country these days, and among that group, most say addressing it requires significant changes to the country’s economic system, according to a new Pew Research Center survey.",2020-01-09T00:00:00+00:00,report
364,Methods 101: How is polling done around the world?,"Polling in different parts of the world can be very challenging, because what works in one country may not work in a different country.",2019-07-16T00:00:00+00:00,feature
365,4 paths highly educated immigrants take to study and work in the U.S.,"Here’s a brief overview of four paths that many highly educated immigrants take to study and work in the U.S.: the H-1B visa program, the F-1 visa program, the Optional Practical Training program and green cards.",2019-02-01T00:00:00+00:00,short reads
366,Sizing Up Twitter Users,"Twitter users are younger, more likely to identify as Democrats, more highly educated and have higher incomes than U.S. adults overall.",2019-04-24T00:00:00+00:00,report
367,"Once a majority, Protestants now account for fewer than a third of Germans",Germany has seen a dramatic shift away from Protestantism – one that has greatly outpaced a decline in the share of Germans who are Catholic.,2019-02-12T00:00:00+00:00,short reads
368,"How Americans see illegal immigration, the border wall and political compromise","As Trump and Democrats press their cases about ways to end the government shutdown, here’s a look at how Americans see illegal immigration.",2019-01-16T00:00:00+00:00,short reads
369,"U.S. unauthorized immigrant population estimates by state, 2016","Pew Research Center estimates that 10.7 million unauthorized immigrants, the lowest level in a decade, lived in the U.S. in 2016",2019-02-05T00:00:00+00:00,feature
370,State of the Union 2019: How Americans see major national issues,"Here is a look at public opinion on important issues facing the United States, from Americans’ views of trade to the U.S.-Mexico border wall.",2019-02-04T00:00:00+00:00,short reads
371,5 facts about religion in Canada,A declining share of Canadians identify as Christians. Most Canadians say religion’s influence in public life is waning in their country.,2019-07-01T00:00:00+00:00,short reads
372,Experts Predict More Digital Innovation by 2030 Aimed at Enhancing Democracy,A majority of experts canvassed say significant reforms aimed at correcting problems in democratic institutions and representation will take place. But they are divided about whether this will lead to positive outcomes for the public.,2020-06-30T00:00:00+00:00,report
